Extraverted,Intuitive,Thinking,Judging,Assertive,,,,,,
I,S,T,J,A,,,,,,
E,N,F,P,A,,,,,,
I,N,T,J,A,,,,,,
I,S,F,P,T,,,,,,
I,N,T,J,A,,,,,,
I,N,F,P,A,,,,,,
I,S,F,J,A,,,,,,
E,N,F,P,T,,,,,,
I,N,F,P,A,,,,,,
E,S,F,J,A,,,,,,
I,N,T,P,T,,,,,,
E,S,T,P,A,,,,,,
I,S,F,P,A,,,,,,
E,S,T,J,A,,,,,,
I,N,T,J,T,,,,,,
I,N,T,P,A,,,,,,
I,S,T,P,A,,,,,,
E,S,F,J,T,,,,,,
I,N,F,J,T,,,,,,
I,S,F,J,A,,,,,,
E,S,T,P,A,,,,,,
I,S,T,J,T,,,,,,
I,S,T,J,T,,,,,,
I,N,F,P,T,,,,,,
I,N,F,P,T,,,,,,
E,N,F,J,T,,,,,,
I,N,F,P,T,,,,,,
I,S,T,J,A,,,,,,
I,S,T,J,A,,,,,,
I,S,F,P,T,,,,,,
E,S,T,P,T,,,,,,
I,S,T,P,T,,,,,,
E,S,T,P,A,,,,,,
E,S,F,P,T,,,,,,
I,S,T,J,T,,,,,,
I,S,F,J,A,,,,,,
E,S,F,J,T,,,,,,
I,N,F,P,T,,,,,,
E,S,T,J,A,,,,,,
I,N,T,J,A,,,,,,
E,S,F,P,T,,,,,,
I,N,T,P,T,,,,,,
E,S,F,P,T,,,,,,
I,N,F,J,T,,,,,,
E,N,F,P,T,,,,,,
I,N,F,P,T,,,,,,
I,N,F,J,T,,,,,,
I,N,T,J,A,,,,,,
I,S,T,P,A,,,,,,
I,S,F,J,A,,,,,,
E,S,T,P,A,,,,,,
I,N,F,J,T,,,,,,
E,S,F,P,T,,,,,,
I,N,F,P,T,,,,,,
I,S,T,J,A,,,,,,
I,N,T,P,T,,,,,,
E,S,F,P,T,,,,,,
E,S,T,J,A,,,,,,
I,S,T,J,A,,,,,,
I,N,T,P,T,,,,,,
I,N,F,J,A,,,,,,
E,S,F,J,A,,,,,,
I,N,T,J,A,,,,,,
I,N,F,J,A,,,,,,
E,N,F,P,T,,,,,,
I,S,F,P,T,,,,,,
I,S,T,J,A,,,,,,
